Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
81,Amari Cooper,OAK,23,WR,14,12,96,48,50.00%,680,14.2,7,87,3.4,48.6,1
82,Emmanuel Sanders,DEN,30,WR,12,11,92,47,51.10%,555,11.8,2,38,3.9,46.3,0
83,Javorius Allen,BAL,26,,16,0,60,46,76.70%,250,5.4,2,20,2.9,15.6,0
84,Ryan Grant,WAS,27,wr,16,7,65,45,69.20%,573,12.7,4,40,2.8,35.8,0
85,Hunter Henry,LAC,23,fb/tb/TE,14,13,62,45,72.60%,579,12.9,4,34,3.2,41.4,0
86,Tyler Lockett,SEA,25,WR,16,8,71,45,63.40%,555,12.3,2,74,2.8,34.7,0
87,Paul Richardson,SEA,25,WR,16,13,80,44,55.00%,703,16,6,61,2.8,43.9,0
88,Shane Vereen,NYG,28,,16,0,53,44,83.00%,253,5.8,0,20,2.8,15.8,0
89,Giovani Bernard,CIN,26,rb,16,2,60,43,71.70%,389,9,2,61,2.7,24.3,0
90,Vernon Davis,WAS,33,TE/wr,16,16,69,43,62.30%,648,15.1,3,69,2.7,40.5,2
91,Jesse James,PIT,23,TE,16,14,63,43,68.30%,372,8.7,3,32,2.7,23.3,0
92,George Kittle,SFO,24,te,15,7,63,43,68.30%,515,12,2,44,2.9,34.3,0
93,Seth Roberts,OAK,26,wr,15,7,65,43,66.20%,455,10.6,1,29,2.9,30.3,2
94,Trent Taylor,SFO,23,wr,15,1,60,43,71.70%,430,10,2,33,2.9,28.7,1
95,Tyrell Williams,LAC,25,WR,16,15,69,43,62.30%,728,16.9,4,75,2.7,45.5,1
96,Keelan Cole,JAX,24,wr,16,6,83,42,50.60%,748,17.8,3,75,2.6,46.8,2
97,Tyler Kroft,CIN,25,TE,16,16,62,42,67.70%,404,9.6,7,59,2.6,25.3,0
98,Albert Wilson,KAN,25,wr,13,7,62,42,67.70%,554,13.2,3,63,3.2,42.6,0
99,Julius Thomas,MIA,29,TE,14,13,62,41,66.10%,388,9.5,3,27,2.9,27.7,1
100,Pierre Garcon,SFO,31,WR,8,8,67,40,59.70%,500,12.5,0,59,5,62.5,0
101,Jeremy Maclin,BAL,29,WR,12,12,72,40,55.60%,440,11,3,48,3.3,36.7,0
102,Andre Ellington,2TM,28,,12,2,59,39,66.10%,369,9.5,0,29,3.3,30.8,0
103,Allen Hurns,JAX,26,WR,10,8,56,39,69.60%,484,12.4,2,50,3.9,48.4,0
104,DeMarco Murray,TEN,29,RB,15,15,47,39,83.00%,266,6.8,1,18,2.6,17.7,1
